date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:18:00	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-brands-401.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-brands-401.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:00	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-brands-402.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-brands-402.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:01	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-brands-403.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-brands-403.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:01	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-400.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-400.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:01	4592163/4592163	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/static/js/chunk.js	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/static/js/chunk.js	(from https://mintgreatgoats.com/)
07:18:02	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-400-1.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-400-1.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:02	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-401.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-401.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:03	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-402.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-402.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:04	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-403.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-403.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:04	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-404.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-regular-404.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:07	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-900.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-900.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:11	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-900-1.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-900-1.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:13	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-901.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-901.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:19	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-902.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-902.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:23	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-903.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-903.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:28	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-904.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/webfonts/fa-solid-904.html	(from https://mintgreatgoats.com/ajax/libs/font-awesome/5.15.4/css/all.min.css)
07:18:36	3154/3154	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jun%202022%2018:07:38%20GMT	https://mintgreatgoats.com/css2.html	C:/Users/Administrator/Downloads/greatgoats%20drainer/mintgreatgoats.com/css2.html	(from https://mintgreatgoats.com/assets/css/style06d5.css?1221ss2a2)
07:18:36	358826/358826	---M--	200	added ('OK')	image/png	etag:%22b0d90d0de878bb0ad02d71cfc427691c-ssl%22	https://greatgoats.io/assets/images/great-goat.png	C:/Users/Administrator/Downloads/greatgoats%20drainer/greatgoats.io/assets/images/great-goat.png	(from https://mintgreatgoats.com/assets/css/style06d5.css?1221ss2a2)
